show_id,title,director,cast,date_added,release_year,rating,duration,complexity,Documentaries,Children & Family Movies,Cult Movies,Stand-Up Comedy,Thrillers,Independent Movies,Dramas,Movies,International Movies,LGBTQ Movies,Romantic Movies,Sports Movies,Horror Movies,Music & Musicals,Classic Movies,Action & Adventure,Comedies,Sci-Fi & Fantasy,Faith & Spirituality
s2030,The Babysitter: Killer Queen,McG,"Judah Lewis, Jenna Ortega, Emily Alyn Lind, Andrew Bachelor, Robbie Amell, Bella Thorne, Hana Mae Lee, Ken Marino, Leslie Bibb, Chris Wylde, Carl McDowell",2020-09-10,2020,TV-MA,102,7,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
s2036,The Social Dilemma,Jeff Orlowski,"Skyler Gisondo, Kara Hayward, Vincent Kartheiser",2020-09-09,2020,PG-13,94,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s2046,I'm Thinking of Ending Things,Charlie Kaufman,"Jessie Buckley, Jesse Plemons, Toni Collette, David Thewlis, Guy Boyd",2020-09-04,2020,R,135,13,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
s2053,"Love, Guaranteed",Mark Steven Johnson,"Rachael Leigh Cook, Damon Wayans Jr., Heather Graham, Caitlin Howden, Brendan Taylor, Sebastian Billingsley-Rodriguez, Sean Amsing, Lisa Durupt, Alvin Sanders, Jed Rees, Kandyse McClure",2020-09-03,2020,TV-PG,91,14,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
s2072,Puss in Boots,Chris Miller,"Antonio Banderas, Salma Hayek, Zach Galifianakis, Billy Bob Thornton, Amy Sedaris, Constance Marie, Guillermo del Toro, Mike Mitchell",2020-09-01,2011,PG,92,13,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
s2073,Sex Drive,Sean Anders,"Josh Zuckerman, Amanda Crew, Clark Duke, Seth Green, James Marsden, Michael Cudlitz, Dave Sheridan, Alice Greczyn, Katrina Bowden, Charlie McDermott, Mark L. Young",2020-09-01,2008,R,109,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
s2077,The Boss Baby: Get That Baby!,"Dan Forgione, Pete Jacobs, Matt Whitlock","JP Karliak, Pierce Gagnon, Alex Cazares, Kevin Michael Richardson, Flula Borg, Rhys Darby, Wendie Malick, Jake Green",2020-09-01,2020,TV-Y7,115,12,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
s2084,The Debt Collector 2,Jesse V. Johnson,"Scott Adkins, Louis Mandylor, Vladimir Kulich, Marina Sirtis, Ski Carr, Charity Collins, Mayling Ng, Josef Cannon, Jermaine Jacox, Vernon Wells",2020-08-31,2020,TV-MA,97,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
s2085,All Together Now,Brett Haley,"Auli'i Cravalho, Justina Machado, Rhenzy Feliz, Fred Armisen, Carol Burnett, Judy Reyes, Taylor Richardson, C.S. Lee, Anthony Jacques",2020-08-29,2020,PG,94,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
s2091,Edge of Seventeen,David Moreton,"Chris Stafford, Tina Holmes, Andersen Gabrych, Stephanie McVay, Lea DeLaria, John Eby, Antonio Carriero, Jason Lockhart",2020-08-27,1998,TV-MA,103,15,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0
s2093,The Young Messiah,Cyrus Nowrasteh,"Adam Greaves-Neal, Sara Lazzaro, Vincent Walsh, Sean Bean, Jonathan Bailey, Agni Scott",2020-08-27,2016,PG-13,111,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
s2096,Making The Witcher,Nathan Wiley,"Henry Cavill, Anya Chalotra, Freya Allan, Eamon Farren, Mimi Ndiweni, Adam Levy, MyAnna Buring, Joey Batey, Lauren Schmidt Hissrich, Tomasz Bagiński, Andrew Laws, Sneha Koorse, Declan De Barra, Beau DeMayo, Simon Emanuel, Iván Pohárnok, Tim Aslam, Charlotte Brändström",2020-08-26,2020,TV-MA,33,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s2101,Septembers of Shiraz,Wayne Blair,"Adrien Brody, Salma Hayek, Shohreh Aghdashloo, Alon Aboutboul, Navid Navid, Ariana Molkara, Nasser Memarzia, Jamie Ward, Anthony Azizi, Liron Levo, Gabriella Wright",2020-08-24,2016,PG-13,110,15,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
s2108,The Sleepover,Trish Sie,"Sadie Stanley, Maxwell Simkins, Ken Marino, Malin Akerman, Cree Cicchino, Lucas Jaye, Karla Souza, Enuka Okuma, Erik Griffin, Joe Manganiello",2020-08-21,2020,TV-PG,104,12,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
s2116,Drunk Parents,Fred Wolf,"Alec Baldwin, Salma Hayek, Jim Gaffigan, Joe Manganiello, Treat Williams, Ben Platt, Aasif Mandvi, Natalia Cigliuti",2020-08-18,2019,R,97,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
s2133,Project Power,"Henry Joost, Ariel Schulman","Jamie Foxx, Joseph Gordon-Levitt, Dominique Fishback, Rodrigo Santoro, Courtney B. Vance, Amy Landecker, Machine Gun Kelly, Tait Fletcher, Allen Maldonado, Andrene Ward-Hammond",2020-08-14,2020,R,113,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
s2143,Mr. Peabody & Sherman,Rob Minkoff,"Ty Burrell, Max Charles, Ariel Winter, Stephen Colbert, Leslie Mann, Stanley Tucci, Allison Janney, Mel Brooks, Patrick Warburton, Stephen Tobolowsky, Lake Bell",2020-08-11,2014,PG,93,10,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
s2144,"Rob Schneider: Asian Momma, Mexican Kids",Tyler Spindel,Rob Schneider,2020-08-11,2020,TV-MA,44,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
