show_id,title,director,cast,date_added,release_year,rating,duration,listed_in,complexity,Music & Musicals,Classic Movies,Documentaries,Sci-Fi & Fantasy,Faith & Spirituality,Thrillers,Dramas,Action & Adventure,Independent Movies,Cult Movies,LGBTQ Movies,Movies,Sports Movies,Children & Family Movies,Horror Movies,Comedies,Stand-Up Comedy,International Movies,Romantic Movies,avg_dur
s6563,Dante's Peak,Roger Donaldson,"Pierce Brosnan, Linda Hamilton, Elizabeth Hoffman, Jamie Renée Smith, Jeremy Foley, Charles Hallahan, Grant Heslov, Kirk Trutner, Arabella Field, Tzi Ma",2019-09-01,1997,PG-13,108,Action & Adventure,15.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,98
s6576,De Palma,"Noah Baumbach, Jake Paltrow",Brian De Palma,2018-11-21,2015,R,110,Documentaries,15.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106
s6580,Dean,Demetri Martin,"Demetri Martin, Kevin Kline, Gillian Jacobs, Rory Scovel, Ginger Gonzaga, Reid Scott, Mary Steenburgen, Briga Heelan, Christine Woods, Peter Scolari",2020-03-15,2016,PG-13,94,"Comedies, Dramas, Independent Movies",13.0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,98
s6584,Death at a Funeral,Neil LaBute,"Chris Rock, Martin Lawrence, Tracy Morgan, Danny Glover, James Marsden, Luke Wilson, Zoe Saldana, Regina Hall, Columbus Short, Peter Dinklage, Kevin Hart, Loretta Devine, Regine Nehy, Keith David, Ron Glass",2020-08-01,2010,R,93,Comedies,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,106
s6585,Death House,Harrison Smith,"Cody Longo, Cortney Palm, Adrienne Barbeau, Michael Berryman, Barbara Crampton, Sid Haig, Gunnar Hansen, Lindsay Hartley, Kane Hodder, Lloyd Kaufman, Camille Keaton, Bill Moseley, Tony Todd, Dee Wallace, Vincent Ward, Vernon Wells",2019-05-05,2017,R,88,Horror Movies,14.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,106
s6591,Delirium,Dennis Iliadis,"Topher Grace, Genesis Rodriguez, Patricia Clarkson, Callan Mulvey, Robin Thomas, Daisy McCrackin",2018-09-01,2018,R,96,"Horror Movies, Thrillers",10.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,106
s6593,Den of Thieves,Christian Gudegast,"Gerard Butler, Pablo Schreiber, O'Shea Jackson Jr., 50 Cent, Meadow Williams, Maurice Compte, Brian Van Holt, Evan Jones, Mo McRae, Kaiwi Lyman",2020-05-01,2018,R,140,Action & Adventure,5.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,106
s6594,Denis Leary: No Cure For Cancer,Ted Demme,Denis Leary,2017-08-08,1992,R,62,Stand-Up Comedy,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,106
s6613,Dinner for Schmucks,Jay Roach,"Steve Carell, Paul Rudd, Zach Galifianakis, Jemaine Clement, Jeff Dunham, Bruce Greenwood, Ron Livingston, Chris O'Dowd, Lucy Punch, Stephanie Szostak, David Walliams, Larry Wilmore",2020-01-01,2010,PG-13,115,Comedies,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,98
s6623,Dolphin Tale 2,Charles Martin Smith,"Morgan Freeman, Ashley Judd, Harry Connick Jr., Kris Kristofferson, Nathan Gamble, Austin Stowell, Juliana Harkavy, Charles Martin Smith, Austin Highsmith, Cozi Zuehlsdorff",2019-02-25,2014,PG,107,"Children & Family Movies, Dramas",14.0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,84
