show_id,title,director,cast,date_added,release_year,rating,duration,listed_in,complexity,Faith & Spirituality,Children & Family Movies,International Movies,Comedies,Sports Movies,Music & Musicals,Horror Movies,Thrillers,Documentaries,Dramas,Cult Movies,Classic Movies,Stand-Up Comedy,Romantic Movies,Independent Movies,LGBTQ Movies,Movies,Sci-Fi & Fantasy,Action & Adventure,n
s327,Beethoven's 2nd,Rod Daniel,"Charles Grodin, Bonnie Hunt, Nicholle Tom, Christopher Castile, Sarah Rose Karr, Debi Mazar, Chris Penn",8/1/21,1993,PG,88,"Children & Family Movies, Comedies",6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
s334,Ferris Bueller's Day Off,John Hughes,"Matthew Broderick, Alan Ruck, Mia Sara, Jeffrey Jones, Jennifer Grey, Cindy Pickett, Lyman Ward, Edie McClurg, Charlie Sheen, Kristy Swanson, Ben Stein, Del Close",8/1/21,1986,PG-13,103,"Classic Movies, Comedies, Cult Movies",14,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1
s335,Five Feet Apart,Justin Baldoni,"Haley Lu Richardson, Cole Sprouse, Moisés Arias, Kimberly Hébert Gregory, Parminder Nagra, Claire Forlani, Emily Baldoni, Gary Weeks, Cynthia Evans",8/1/21,2019,PG-13,116,"Dramas, Romantic Movies",12,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
s336,Freedomland,Joe Roth,"Samuel L. Jackson, Julianne Moore, Edie Falco, Ron Eldard, William Forsythe, Aunjanue Ellis, Anthony Mackie, LaTanya Richardson Jackson, Clarke Peters, Peter Friedman, Domenick Lombardozzi",8/1/21,2006,R,113,"Dramas, Thrillers",13,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
s342,Magnolia,Paul Thomas Anderson,"John C. Reilly, Philip Baker Hall, Tom Cruise, Julianne Moore, Philip Seymour Hoffman, William H. Macy, Jeremy Blackman, Jason Robards, Melinda Dillon, April Grace, Luis Guzmán, Ricky Jay, Alfred Molina, Michael Murphy, Melora Walters",8/1/21,1999,R,189,"Dramas, Independent Movies",15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1
s343,Major Payne,Nick Castle,"Damon Wayans, Karyn Parsons, William Hickey, Michael Ironside, Albert Hall, Ross Bickell, Orlando Brown, Peyton Chesson-Fohl, Steven Martini",8/1/21,1995,PG-13,97,Comedies,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
s344,My Girl,Howard Zieff,"Dan Aykroyd, Jamie Lee Curtis, Macaulay Culkin, Anna Chlumsky, Richard Masur, Griffin Dunne, Ann Nelson, Peter Michael Goetz, Jane Hallaren, Anthony R. Jones",8/1/21,1991,PG-13,102,Dramas,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
s345,My Girl 2,Howard Zieff,"Anna Chlumsky, Austin O'Brien, Dan Aykroyd, Jamie Lee Curtis, Richard Masur, Christine Ebersole, Angeline Ball",8/1/21,1994,PG,99,"Children & Family Movies, Comedies, Dramas",14,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
s347,Pineapple Express,David Gordon Green,"Seth Rogen, James Franco, Danny McBride, Kevin Corrigan, Craig Robinson, Gary Cole, Rosie Perez, Ed Begley Jr., Nora Dunn, Amber Heard",8/1/21,2008,R,112,"Action & Adventure, Comedies",13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
s350,Seabiscuit,Gary Ross,"Tobey Maguire, Jeff Bridges, Chris Cooper, Elizabeth Banks, Gary Stevens, William H. Macy, David McCullough, Kingston DuCoeur, Eddie Jones, Ed Lauter, Michael O'Neill, Michael Angarano, Royce D. Applegate, Annie Corley, Valerie Mahaffey",8/1/21,2003,PG-13,141,"Dramas, Sports Movies",17,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
